# Time [s], Inlet [kg/m^3]
0.00000e+00,0.00000e+00
1.81159e-03,0.00000e+00
3.62319e-03,0.00000e+00
5.43478e-03,0.00000e+00
7.24638e-03,0.00000e+00
9.05797e-03,0.00000e+00
1.08696e-02,0.00000e+00
1.26812e-02,0.00000e+00
1.44928e-02,0.00000e+00
1.63043e-02,0.00000e+00
1.81159e-02,0.00000e+00
1.99275e-02,0.00000e+00
2.17391e-02,0.00000e+00
2.35507e-02,0.00000e+00
2.53623e-02,0.00000e+00
2.71739e-02,0.00000e+00
2.89855e-02,0.00000e+00
3.07971e-02,0.00000e+00
3.26087e-02,0.00000e+00
3.44203e-02,0.00000e+00
3.62319e-02,0.00000e+00
3.80435e-02,0.00000e+00
3.98551e-02,0.00000e+00
4.16667e-02,0.00000e+00
4.34783e-02,0.00000e+00
4.52899e-02,0.00000e+00
4.71014e-02,0.00000e+00
4.89130e-02,0.00000e+00
5.07246e-02,0.00000e+00
5.25362e-02,0.00000e+00
5.43478e-02,0.00000e+00
5.61594e-02,0.00000e+00
5.79710e-02,0.00000e+00
5.97826e-02,0.00000e+00
6.15942e-02,0.00000e+00
6.34058e-02,0.00000e+00
6.52174e-02,0.00000e+00
6.70290e-02,0.00000e+00
6.88406e-02,0.00000e+00
7.06522e-02,0.00000e+00
7.24638e-02,0.00000e+00
7.42754e-02,0.00000e+00
7.60870e-02,0.00000e+00
7.78986e-02,0.00000e+00
7.97101e-02,-1.15000e-01
8.15217e-02,-1.80792e-01
8.33333e-02,-1.82750e-01
8.51449e-02,1.93250e-03
8.69565e-02,4.25417e-01
8.87681e-02,5.42917e-01
9.05797e-02,7.17500e-01
9.23913e-02,8.81250e-01
9.42029e-02,1.04042e+00
9.60145e-02,1.18750e+00
9.78261e-02,1.32625e+00
9.96377e-02,1.45583e+00
1.01449e-01,1.57125e+00
1.03261e-01,1.67625e+00
1.05072e-01,1.76667e+00
1.06884e-01,1.84208e+00
1.08696e-01,1.90708e+00
1.10507e-01,1.95792e+00
1.12319e-01,1.99500e+00
1.14130e-01,2.02792e+00
