# Time [s], Uz [m/s]
0.00000e+00,-1.26816e+01
1.81159e-03,-1.26135e+01
3.62319e-03,-1.24752e+01
5.43478e-03,-1.23336e+01
7.24638e-03,-1.21893e+01
9.05797e-03,-1.20422e+01
1.08696e-02,-1.18926e+01
1.26812e-02,-1.17405e+01
1.44928e-02,-1.15859e+01
1.63043e-02,-1.14297e+01
1.81159e-02,-1.12713e+01
1.99275e-02,-1.11107e+01
2.17391e-02,-1.09486e+01
2.35507e-02,-1.07847e+01
2.53623e-02,-1.06194e+01
2.71739e-02,-1.04529e+01
2.89855e-02,-1.02851e+01
3.07971e-02,-1.01160e+01
3.26087e-02,-9.94594e+00
3.44203e-02,-9.77537e+00
3.62319e-02,-9.60397e+00
3.80435e-02,-9.43175e+00
3.98551e-02,-9.25870e+00
4.16667e-02,-9.08592e+00
4.34783e-02,-8.91259e+00
4.52899e-02,-8.73871e+00
4.71014e-02,-8.56538e+00
4.89130e-02,-8.39178e+00
5.07246e-02,-8.21818e+00
5.25362e-02,-8.04485e+00
5.43478e-02,-7.87180e+00
5.61594e-02,-7.69930e+00
5.79710e-02,-7.52707e+00
5.97826e-02,-7.35512e+00
6.15942e-02,-7.18428e+00
6.34058e-02,-7.01426e+00
6.52174e-02,-6.84452e+00
6.70290e-02,-6.67561e+00
6.88406e-02,-6.50780e+00
7.06522e-02,-6.34110e+00
7.24638e-02,-6.17495e+00
7.42754e-02,-6.00990e+00
7.60870e-02,-5.84651e+00
7.78986e-02,-5.68367e+00
7.97101e-02,-5.52193e+00
8.15217e-02,-5.36158e+00
8.33333e-02,-5.20232e+00
8.51449e-02,-5.04473e+00
8.69565e-02,-4.88824e+00
8.87681e-02,-4.73257e+00
9.05797e-02,-4.57856e+00
9.23913e-02,-4.42621e+00
9.42029e-02,-4.27469e+00
9.60145e-02,-4.12454e+00
9.78261e-02,-3.97578e+00
9.96377e-02,-3.82840e+00
1.01449e-01,-3.68239e+00
1.03261e-01,-3.53749e+00
1.05072e-01,-3.39397e+00
1.06884e-01,-3.25156e+00
1.08696e-01,-3.11052e+00
1.10507e-01,-2.97086e+00
1.12319e-01,-2.83231e+00
1.14130e-01,-2.69486e+00
1.15942e-01,-2.55852e+00
1.17754e-01,-2.42356e+00
1.19565e-01,-2.28942e+00
1.21377e-01,-2.15611e+00
1.23188e-01,-2.02391e+00
1.25000e-01,-1.89253e+00
1.26812e-01,-1.76254e+00
1.28623e-01,-1.63309e+00
1.30435e-01,-1.50420e+00
1.32246e-01,-1.37641e+00
1.34058e-01,-1.24890e+00
1.35870e-01,-1.12222e+00
1.37681e-01,-9.96084e-01
1.39493e-01,-8.70504e-01
1.41304e-01,-7.45476e-01
1.43116e-01,-6.20448e-01
1.44928e-01,-4.95972e-01
1.46739e-01,-3.71772e-01
1.48551e-01,-2.47572e-01
1.50362e-01,-1.23924e-01
1.52174e-01,-3.11880e-02
1.53986e-01,3.09120e-02
1.55797e-01,1.23924e-01
1.57609e-01,2.47848e-01
1.59420e-01,3.71772e-01
1.61232e-01,4.95972e-01
1.63043e-01,6.20448e-01
1.64855e-01,7.45200e-01
1.66667e-01,8.70504e-01
1.68478e-01,9.96084e-01
1.70290e-01,1.12222e+00
1.72101e-01,1.24918e+00
1.73913e-01,1.37614e+00
1.75725e-01,1.50392e+00
1.77536e-01,1.63309e+00
1.79348e-01,1.76254e+00
1.81159e-01,1.89253e+00
1.82971e-01,2.02391e+00
1.84783e-01,2.15611e+00
1.86594e-01,2.28914e+00
1.88406e-01,2.42328e+00
1.90217e-01,2.55852e+00
1.92029e-01,2.69486e+00
1.93841e-01,2.83231e+00
1.95652e-01,2.97086e+00
1.97464e-01,3.11080e+00
1.99275e-01,3.25183e+00
2.01087e-01,3.39370e+00
2.02899e-01,3.53722e+00
2.04710e-01,3.68239e+00
2.06522e-01,3.82867e+00
2.08333e-01,3.97578e+00
2.10145e-01,4.12427e+00
2.11957e-01,4.27469e+00
2.13768e-01,4.42594e+00
2.15580e-01,4.57856e+00
2.17391e-01,4.73285e+00
2.19203e-01,4.88796e+00
2.21014e-01,5.04445e+00
2.22826e-01,5.20260e+00
2.24638e-01,5.36158e+00
2.26449e-01,5.52193e+00
2.28261e-01,5.68367e+00
2.30072e-01,5.84623e+00
2.31884e-01,6.00990e+00
2.33696e-01,6.17495e+00
2.35507e-01,6.34110e+00
2.37319e-01,6.50780e+00
2.39130e-01,6.67561e+00
2.40942e-01,6.84425e+00
2.42754e-01,7.01399e+00
2.44565e-01,7.18456e+00
2.46377e-01,7.35540e+00
2.48188e-01,7.52680e+00
2.50000e-01,7.69902e+00
2.51812e-01,7.87180e+00
2.53623e-01,8.04485e+00
2.55435e-01,8.21818e+00
2.57246e-01,8.39178e+00
2.59058e-01,8.56511e+00
2.60870e-01,8.73871e+00
2.62681e-01,8.91259e+00
2.64493e-01,9.08592e+00
2.66304e-01,9.25897e+00
2.68116e-01,9.43147e+00
2.69928e-01,9.60370e+00
2.71739e-01,9.77537e+00
2.73551e-01,9.94594e+00
2.75362e-01,1.01160e+01
2.77174e-01,1.02851e+01
