# Time [s], Uz [m/s]
0.00000e+00,-3.97072e-01
5.43478e-03,-3.96980e-01
1.08696e-02,-6.39584e-01
1.63043e-02,-9.51740e-01
2.17391e-02,-1.12056e+00
2.71739e-02,-1.30272e+00
3.26087e-02,-1.36712e+00
3.80435e-02,-1.33032e+00
4.34783e-02,-1.29720e+00
4.89130e-02,-1.13712e+00
5.43478e-02,-9.92680e-01
5.97826e-02,-7.23120e-01
6.52174e-02,-4.56320e-01
7.06522e-02,-3.47760e-01
7.60870e-02,-1.17760e-01
8.15217e-02,0.00000e+00
8.69565e-02,0.00000e+00
9.23913e-02,0.00000e+00
9.78261e-02,8.88178e-16
1.03261e-01,-8.88178e-16
1.08696e-01,0.00000e+00
1.14130e-01,8.88178e-16
1.19565e-01,-8.88178e-16
1.25000e-01,0.00000e+00
1.30435e-01,0.00000e+00
1.35870e-01,0.00000e+00
1.41304e-01,0.00000e+00
1.46739e-01,0.00000e+00
1.52174e-01,0.00000e+00
1.57609e-01,0.00000e+00
1.63043e-01,2.18960e-01
1.68478e-01,4.12160e-01
1.73913e-01,5.20720e-01
1.79348e-01,8.23400e-01
1.84783e-01,1.03132e+00
1.90217e-01,1.19140e+00
1.95652e-01,1.31192e+00
2.01087e-01,1.34228e+00
2.06522e-01,1.37908e+00
2.11957e-01,1.24200e+00
2.17391e-01,1.05984e+00
2.22826e-01,8.47688e-01
2.28261e-01,5.35624e-01
2.33696e-01,3.30832e-01
2.39130e-01,1.32296e-01
2.44565e-01,0.00000e+00
2.50000e-01,-1.90252e-21
2.55435e-01,-3.88648e-35
2.60870e-01,1.90252e-21
2.66304e-01,0.00000e+00
2.71739e-01,0.00000e+00
2.77174e-01,0.00000e+00
2.82609e-01,0.00000e+00
2.88043e-01,1.86875e-33
2.93478e-01,3.81751e-47
2.98913e-01,-1.86875e-33
3.04348e-01,0.00000e+00
3.09783e-01,0.00000e+00
3.15217e-01,0.00000e+00
3.20652e-01,0.00000e+00
3.26087e-01,-1.85699e-45
3.31522e-01,-3.79349e-59
3.36957e-01,1.85633e-45
3.42391e-01,-1.36567e-62
3.47826e-01,6.68525e-49
3.53261e-01,0.00000e+00
3.58696e-01,0.00000e+00
3.64130e-01,1.80343e-57
3.69565e-01,3.68407e-71
3.75000e-01,-1.80277e-57
3.80435e-01,1.35628e-74
3.85870e-01,-6.63684e-61
3.91304e-01,5.01914e-78
3.96739e-01,-2.45698e-64
4.02174e-01,0.00000e+00
4.07609e-01,0.00000e+00
4.13043e-01,-6.48334e-73
4.18478e-01,-1.32442e-86
4.23913e-01,6.48092e-73
4.29348e-01,-4.94529e-90
4.34783e-01,2.42083e-76
4.40217e-01,0.00000e+00
4.45652e-01,0.00000e+00
4.51087e-01,6.35904e-85
4.56522e-01,1.29903e-98
4.61957e-01,-6.35670e-85
4.67391e-01,4.78603e-102
4.72826e-01,-2.34286e-88
4.78261e-01,0.00000e+00
