# Time [s], inlet [kg/m^3]
0.00000e+00,0.00000e+00
1.81159e-03,0.00000e+00
3.62319e-03,0.00000e+00
5.43478e-03,0.00000e+00
7.24638e-03,0.00000e+00
9.05797e-03,0.00000e+00
1.08696e-02,0.00000e+00
1.26812e-02,0.00000e+00
1.44928e-02,0.00000e+00
1.63043e-02,0.00000e+00
1.81159e-02,0.00000e+00
1.99275e-02,0.00000e+00
2.17391e-02,0.00000e+00
2.35507e-02,0.00000e+00
2.53623e-02,0.00000e+00
2.71739e-02,0.00000e+00
2.89855e-02,0.00000e+00
3.07971e-02,0.00000e+00
3.26087e-02,0.00000e+00
3.44203e-02,0.00000e+00
3.62319e-02,0.00000e+00
3.80435e-02,0.00000e+00
3.98551e-02,0.00000e+00
4.16667e-02,0.00000e+00
4.34783e-02,0.00000e+00
4.52899e-02,0.00000e+00
4.71014e-02,0.00000e+00
4.89130e-02,0.00000e+00
5.07246e-02,0.00000e+00
5.25362e-02,0.00000e+00
5.43478e-02,0.00000e+00
5.61594e-02,0.00000e+00
5.79710e-02,0.00000e+00
5.97826e-02,0.00000e+00
6.15942e-02,0.00000e+00
6.34058e-02,0.00000e+00
6.52174e-02,0.00000e+00
6.70290e-02,0.00000e+00
6.88406e-02,0.00000e+00
7.06522e-02,0.00000e+00
7.24638e-02,0.00000e+00
7.42754e-02,0.00000e+00
7.60870e-02,0.00000e+00
7.78986e-02,0.00000e+00
7.97101e-02,-6.90000e-01
8.15217e-02,-1.08475e+00
8.33333e-02,-1.09650e+00
8.51449e-02,1.15950e-02
8.69565e-02,2.55250e+00
8.87681e-02,3.25750e+00
9.05797e-02,4.30500e+00
9.23913e-02,5.28750e+00
9.42029e-02,6.24250e+00
9.60145e-02,7.12500e+00
9.78261e-02,7.95750e+00
9.96377e-02,8.73500e+00
1.01449e-01,9.42750e+00
1.03261e-01,1.00575e+01
1.05072e-01,1.06000e+01
1.06884e-01,1.10525e+01
1.08696e-01,1.14425e+01
1.10507e-01,1.17475e+01
1.12319e-01,1.19700e+01
1.14130e-01,1.21675e+01
1.15942e-01,1.23250e+01
